link,link_text,page
https://discord.gg/38qHCZ8wa8,CLICK HERE FOR   Discord Access (Direct Message me ON DISCORD AFTER you accept the invite to gain FULL ACCESS),2
,,9
,,9
,,9
,,9
,,9
,,9
,,9
,,9
,,9
,,9
,,9
https://youtu.be/V-jLJO_PlEg?si=ylZml6gdCcUXYV5Q,,11
https://youtu.be/V-jLJO_PlEg?si=ylZml6gdCcUXYV5Q,,11
https://youtube.com/shorts/GcTF8Dvgcuw?feature=share,EXERCISE EXAMPLE FOR THE REAR DELTS: (CLICK EXERCISE FOR A VIDEO TUTORIAL)  Hip Huggers,15
https://youtube.com/shorts/GcTF8Dvgcuw?feature=share,EXERCISE EXAMPLE FOR THE REAR DELTS: (CLICK EXERCISE FOR A VIDEO TUTORIAL)  Hip Huggers,15
https://youtube.com/shorts/H9il_PZegSE?feature=share,EXERCISE EXAMPLE FOR THE FRONT DELTOID: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Standing Military Press,16
https://youtube.com/shorts/cPt2OMDmwps?feature=share,EXERCISE EXAMPLE FOR THE SIDE DELTOID: (CLICK EXERCISE FOR A VIDEO TUTORIAL)  Lateral Raises,16
https://youtube.com/shorts/cPt2OMDmwps?feature=share,EXERCISE EXAMPLE FOR THE SIDE DELTOID: (CLICK EXERCISE FOR A VIDEO TUTORIAL)  Lateral Raises,16
https://youtube.com/shorts/SIdGGmExFfQ?feature=share,THE 3 EXERCISES FOR COMPLETE ROTATOR CUFF WORK: (CLICK EACH EXERCISE FOR A VIDEO TUTORIAL) Facepulls 1. Dumbbell Shoulder External Rotations 2.,20
https://youtube.com/shorts/cRHi3xXcfww?si=2zqR5g6PZ6qjy2GW,Facepulls 1. Dumbbell Shoulder External Rotations 2. LU Raises 3.,20
https://youtube.com/shorts/urTKOW7z-B4?si=RsuqKK741NDnGohf,Dumbbell Shoulder External Rotations 2. LU Raises 3.,20
https://youtube.com/shorts/P6ZJcShe0dI?feature=share,EXERCISE EXAMPLE FOR THE UPPER TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Farmer Carries + Shrugs,25
https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,EXERCISE EXAMPLE FOR THE MIDDLE TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Standing Reverse Incline Flyes,25
